ply,player,move_number,row,column
1,X,1,2,4
2,O,1,1,1
3,X,2,2,2
4,O,2,4,2
5,X,3,3,4
6,O,3,3,2
7,X,4,2,1
8,O,4,3,1
9,X,5,4,4
10,O,5,1,5
11,X,6,1,3
12,O,6,4,1
13,X,7,1,4
14,O,7,4,3
15,X,8,4,5
16,O,8,5,5
17,X,9,2,5
18,O,9,1,2
19,X,10,5,3
20,O,10,5,2
21,X,11,2,3
22,O,11,5,4
23,X,12,3,3
24,O,12,5,1
25,X,13,3,5
